Area,"A00-R99,U00-Y89 All causes, all ages",F10-F19 Mental and behavioural disorders due to psychoactive substance use,G31.2 Degeneration of nervous system due to alcohol,G62.0 Drug-induced polyneuropathy,G62.1 Alcoholic polyneuropathy,G62.2 Polyneuropathy due to other toxic agents,G72.0 Drug-induced myopathy,G72.1 Alcoholic myopathy,G72.2 Myopathy due to other toxic agents,I42.6 Alcoholic cardiomyopathy,I42.7 Cardiomyopathy due to drugs and other external agents,K29.2 Alcoholic gastritis,K70 Alcoholic liver disease,"K73 Chronic hepatitis, not elsewhere classified",K74 Fibrosis and cirrhosis of liver,K74.2 Hepatic fibrosis with hepatic sclerosis,K85.2 Alcohol-induced acute pancreatitis,K86.0 Alcohol-induced chronic pancreatitis,"R78 Findings of drugs and other substances, not normally found in blood",X40-X49 Accidental poisoning by and exposure to noxious substances,X60-X84 Intentional self-harm,X85-Y09 Assault,"Y15 Poisoning by and exposure to alcohol, undetermined intent"
ladu:Staffordshire Moorlands,1282,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,8,0,0
ladu:Tamworth,775,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0
ladu:North Warwickshire,841,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,5,0,0
ladu:Nuneaton and Bedworth,1512,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,7,9,0,0
ladu:Rugby,1115,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,8,10,0,0
ladu:Stratford-on-Avon,1599,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,6,10,0,0
ladu:Warwick,1444,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,7,12,0,0
ladu:Birmingham,10359,21,0,0,0,0,0,0,0,0,0,0,123,0,20,0,0,0,0,80,64,5,0
ladu:Coventry,3240,8,0,0,0,0,0,0,0,5,0,0,46,0,8,0,0,0,0,33,29,0,0
ladu:Dudley,3785,5,0,0,0,0,0,0,0,0,0,0,58,0,11,0,0,0,0,9,34,0,0
ladu:Sandwell,3656,6,0,0,0,0,0,0,0,5,0,0,64,0,13,0,5,0,0,15,33,5,0
ladu:Solihull,2513,5,0,0,0,0,0,0,0,0,0,0,26,0,7,0,0,0,0,11,20,0,0
ladu:Walsall,3187,5,0,0,0,0,0,0,0,0,0,0,30,0,5,0,0,0,0,13,23,0,0
ladu:Wolverhampton,3151,6,0,0,0,0,0,0,0,0,0,0,63,0,5,0,0,0,0,28,15,0,0
ladu:Bromsgrove,1205,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,5,5,0,0
ladu:Malvern Hills,1073,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0
ladu:Redditch,876,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,6,8,0,0
ladu:Worcester,996,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,9,14,0,0
ladu:Wychavon,1468,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,5,15,0,0
ladu:Wyre Forest,1347,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,5,5,0,0
ladu:Bedford,1720,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,10,15,0,0
ladu:Central Bedfordshire,2510,6,0,0,0,0,0,0,0,0,0,0,18,0,7,0,0,0,0,12,16,0,0
ladu:Luton,1789,5,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,0,0,15,10,0,0
ladu:Peterborough,1715,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,18,15,0,0
ladu:Southend-on-Sea,2163,0,0,0,0,0,0,0,0,0,0,0,19,0,8,0,0,0,0,16,11,0,0
ladu:Thurrock,1470,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,10,0,0
ladu:Cambridge,819,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,5,0,0
ladu:East Cambridgeshire,854,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0
ladu:Fenland,1314,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,10,11,0,0
ladu:Huntingdonshire,1671,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,6,12,0,0
ladu:South Cambridgeshire,1295,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,9,0,0
ladu:Basildon,1816,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,10,15,0,0
ladu:Braintree,1580,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,5,15,0,0
ladu:Brentwood,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0
ladu:Castle Point,1186,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,7,0,0
ladu:Chelmsford,1628,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,6,10,0,0
ladu:Colchester,1643,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,0,0,0,21,14,0,0
ladu:Epping Forest,1477,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,12,0,0
ladu:Harlow,813,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0
ladu:Maldon,742,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0
ladu:Rochford,968,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,5,5,0,0
ladu:Tendring,2355,5,0,0,0,0,0,0,0,0,0,0,20,0,16,0,0,0,0,14,5,0,0
ladu:Uttlesford,814,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,10,0,0
ladu:Broxbourne,960,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,6,5,0,0
ladu:Dacorum,1441,0,0,0,0,0,0,0,0,0,0,0,19,0,7,0,0,0,0,6,9,0,0
ladu:East Hertfordshire,1311,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,5,10,0,0
ladu:Hertsmere,1162,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0
ladu:North Hertfordshire,1291,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,6,0,0
ladu:St Albans,1321,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,5,10,0,0
ladu:Stevenage,810,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,7,7,0,0
ladu:Three Rivers,839,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,8,0,0
ladu:Watford,826,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,5,0,0
ladu:Welwyn Hatfield,1076,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,5,9,0,0
ladu:Breckland,1769,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,5,8,0,0
ladu:Broadland,1590,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,7,7,0,0
ladu:Great Yarmouth,1247,6,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,8,10,0,0
ladu:King's Lynn and West Norfolk,1975,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,11,11,0,0
ladu:North Norfolk,1668,5,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,5,9,0,0
ladu:Norwich,1308,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,24,13,0,0
ladu:South Norfolk,1486,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,5,0,0
ladu:Babergh,1151,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,8,7,0,0
ladu:Ipswich,1276,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,8,0,0
ladu:Mid Suffolk,1140,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,12,0,0
ladu:East Suffolk,3299,5,0,0,0,0,0,0,0,0,0,0,19,0,7,0,0,0,0,15,30,0,0
ladu:West Suffolk,1829,5,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,12,17,0,0
ladu:Camden,1307,6,0,0,0,0,0,0,0,5,0,0,16,0,5,0,0,0,0,15,22,0,0
ladu:City of London,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ladu:Hackney,1392,5,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,23,23,5,0
ladu:Hammersmith and Fulham,1196,6,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,33,19,0,0
ladu:Haringey,1576,0,0,0,0,0,0,0,0,0,0,0,23,0,5,0,0,0,0,11,11,0,0
ladu:Islington,1223,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,20,13,0,0
ladu:Kensington and Chelsea,905,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,13,0,0
ladu:Lambeth,1774,5,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,10,7,0,0
ladu:Lewisham,1859,0,0,0,0,0,0,0,0,0,0,0,21,0,8,0,0,0,0,12,16,0,0
ladu:Newham,1819,0,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,0,16,20,0,0
ladu:Southwark,1614,7,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,15,17,0,0
ladu:Tower Hamlets,1297,5,0,0,0,0,0,0,0,0,0,0,20,0,6,0,0,0,0,7,12,0,0
ladu:Wandsworth,1767,5,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,12,16,0,0
ladu:Westminster,1356,5,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,17,19,0,0
ladu:Barking and Dagenham,1500,5,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,15,11,0,0
ladu:Barnet,2942,5,0,0,0,0,0,0,0,5,0,0,17,0,5,0,0,0,0,14,10,0,0
ladu:Bexley,2279,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,9,11,0,0
ladu:Brent,2240,0,0,0,0,0,0,0,0,0,0,0,21,0,7,0,0,0,0,12,12,0,0
ladu:Bromley,2883,5,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,5,7,0,0
ladu:Croydon,3051,5,0,0,0,0,0,0,0,0,0,0,27,0,9,0,0,0,0,13,14,0,0
ladu:Ealing,2506,0,0,0,0,0,0,0,0,0,0,0,25,0,13,0,0,0,0,23,20,0,0
ladu:Enfield,2552,0,0,0,0,0,0,0,0,5,0,0,16,0,8,0,0,0,0,10,13,0,0
ladu:Greenwich,1852,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,15,10,0,0
ladu:Harrow,1941,0,0,0,0,0,0,0,0,5,0,0,11,0,8,0,0,0,0,5,8,0,0
ladu:Havering,2871,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,0,0,14,19,0,0
ladu:Hillingdon,2327,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,0,13,19,0,0
ladu:Hounslow,1866,6,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,21,16,0,0
ladu:Kingston upon Thames,1190,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,7,0,0
